tournament,city,country,date,tournament_type,round,player_1,player_2,winner,game_1_score,game_2_score,game_3_score
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-07,HSBC BWF World Tour Super 500,Qualification quarter final,Lyanny Alessandra Mainaky,Xuefei Qi,Xuefei Qi,10-21,15-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-07,HSBC BWF World Tour Super 500,Qualification quarter final,Yu Po Pai,Ruselli Hartawan,Ruselli Hartawan,21-13,14-21,17-21
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-07,HSBC BWF World Tour Super 500,Qualification quarter final,Lianne Tan,Natalia Perminova,Lianne Tan,21-14,9-21,21-12
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-07,HSBC BWF World Tour Super 500,Qualification quarter final,Pui Yin Yip,Thuzar Thet Htar,Pui Yin Yip,14-21,21-15,21-10
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Gregoria Mariska Tunjung,Ratchanok Intanon,Ratchanok Intanon,24-22,19-21,15-21
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Nozomi Okuhara,Pui Yin Yip,Nozomi Okuhara,21-16,21-23,21-13
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,V. Sindhu Pusarla,Evgeniya Kosetskaya,V. Sindhu Pusarla,21-15,21-13,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Aya Ohori,Busanan Ongbamrungphan,Aya Ohori,21-9,14-21,21-15
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Tzu Ying Tai,Yi Man Zhang,Tzu Ying Tai,21-14,21-10,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Carolina Marin,Akane Yamaguchi,Carolina Marin,21-4,24-22,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Xuefei Qi,Zhi Yi Wang,Zhi Yi Wang,21-12,11-21,11-21
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Bing Jiao He,Ga Eun Kim,Bing Jiao He,13-21,21-11,21-14
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Saina Nehwal,Lianne Tan,Saina Nehwal,21-15,21-17,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Nitchaon Jindapol,Yue Han,Nitchaon Jindapol,21-17,22-20,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Yan Yan Cai,Fitriani Fitriani,Yan Yan Cai,21-10,21-12,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Ruselli Hartawan,Jia Min Yeo,Ruselli Hartawan,10-21,21-11,21-16
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Sayaka Takahashi,Beiwen Zhang,Sayaka Takahashi,21-12,20-22,21-15
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Porntip Buranaprasertsuk,Se Young An,Se Young An,12-21,9-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Line Højmark Kjaersfeldt,Yu Fei Chen,Yu Fei Chen,12-21,22-20,12-21
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-08,HSBC BWF World Tour Super 500,Round of 32,Pornpawee Chochuwong,Ji Hyun Sung,Ji Hyun Sung,16-21,15-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Nozomi Okuhara,Sayaka Takahashi,Nozomi Okuhara,21-14,21-9,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Saina Nehwal,Se Young An,Saina Nehwal,25-23,21-12,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Yan Yan Cai,Carolina Marin,Carolina Marin,16-21,18-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,V. Sindhu Pusarla,Aya Ohori,V. Sindhu Pusarla,21-10,21-15,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Tzu Ying Tai,Ji Hyun Sung,Tzu Ying Tai,21-18,16-21,21-10
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Bing Jiao He,Ruselli Hartawan,Bing Jiao He,21-13,21-17,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Nitchaon Jindapol,Yu Fei Chen,Yu Fei Chen,12-21,13-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-09,HSBC BWF World Tour Super 500,Round of 16,Zhi Yi Wang,Ratchanok Intanon,Zhi Yi Wang,19-21,21-11,22-20
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-10,HSBC BWF World Tour Super 500,Quarter final,Tzu Ying Tai,V. Sindhu Pusarla,Tzu Ying Tai,21-16,21-16,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-10,HSBC BWF World Tour Super 500,Quarter final,Saina Nehwal,Carolina Marin,Carolina Marin,8-21,7-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-10,HSBC BWF World Tour Super 500,Quarter final,Nozomi Okuhara,Bing Jiao He,Bing Jiao He,17-21,10-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-10,HSBC BWF World Tour Super 500,Quarter final,Zhi Yi Wang,Yu Fei Chen,Yu Fei Chen,19-21,14-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-11,HSBC BWF World Tour Super 500,Semi final,Tzu Ying Tai,Bing Jiao He,Tzu Ying Tai,21-17,21-12,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-11,HSBC BWF World Tour Super 500,Semi final,Carolina Marin,Yu Fei Chen,Yu Fei Chen,15-21,14-21,
PERODUA Malaysia Masters 2020,Kuala Lumpur,Malaysia,2020-01-12,HSBC BWF World Tour Super 500,Final,Tzu Ying Tai,Yu Fei Chen,Yu Fei Chen,17-21,10-21,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-14,HSBC BWF World Tour Super 500,Qualification quarter final,Lianne Tan,Xuefei Qi,Lianne Tan,21-15,21-18,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-14,HSBC BWF World Tour Super 500,Qualification quarter final,Porntip Buranaprasertsuk,Yvonne Li,Porntip Buranaprasertsuk,22-20,21-11,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-14,HSBC BWF World Tour Super 500,Qualification quarter final,Yu Po Pai,Ruselli Hartawan,Ruselli Hartawan,18-21,21-23,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-14,HSBC BWF World Tour Super 500,Qualification quarter final,Yi Man Zhang,Sabrina Jaquet,Yi Man Zhang,21-16,22-20,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Yi Man Zhang,Beiwen Zhang,Beiwen Zhang,18-21,21-23,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Yu Fei Chen,Line Højmark Kjaersfeldt,Line Højmark Kjaersfeldt,18-21,14-21,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Ngan Yi Cheung,Ga Eun Kim,Ga Eun Kim,15-21,15-21,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Bing Jiao He,Porntip Buranaprasertsuk,Bing Jiao He,21-19,21-18,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Nozomi Okuhara,Evgeniya Kosetskaya,Nozomi Okuhara,21-16,21-13,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Carolina Marin,Nitchaon Jindapol,Carolina Marin,21-13,21-15,
DAIHATSU Indonesia Masters 2020,Jakarta,Indonesia,2020-01-15,HSBC BWF World Tour Super 500,Round of 32,Kirsty Gilmour,Jia Min Yeo,Kirsty Gilmour,21-15,21-14,
