team,team_abbreviation,location,region
FURIA,FURIA,Brazil,South America
Team Vitality,Vitality,France,Europe
Team Falcons,Falcons,Saudi Arabia,Europe
The MongolZ,MongolZ,Mongolia,Asia
MOUZ,MOUZ,Germany,Europe
Team Spirit,Spirit,Serbia,Commonwealth of Independent States
G2 Esports,G2,Germany,Europe
paiN Gaming,paiN,Brazil,South America
Aurora Gaming,Aurora,Turkey,Europe
Natus Vincere,NAVI,Ukraine,Europe
Team Liquid,Liquid,North America,North America
3DMAX,3DMAX,France,Europe
Astralis,Astralis,Denmark,Europe
TYLOO,TYLOO,China,Asia
MIBR,MIBR,Brazil,South America
Passion UA,P.UA,Ukraine,Europe
Legacy,Legacy,Brazil,South America
FaZe Clan,FaZe,Europe,Europe
B8,B8,Ukraine,Europe
GamerLegion,GL,Germany,Europe
Fnatic,Fnatic,Ukraine,Europe
PARIVISION,PV,Russia,Commonwealth of Independent States
Ninjas in Pyjamas,NIP,Sweden,Europe
Imperial Esports,Imperial,Brazil,South America
FlyQuest,FLY,Australia,Oceania
Lynn Vision Gaming,LVG,China,China
M80,M80,United States,North America
Fluxo,Fluxo,Brazil,South America
RED Canids,RED,Brazil,South America
The Huns Esports,The Huns,Mongolia,Asia
NRG,NRG,United States,North America
Rare Atom,RA,China,China
