name,fide_id,birth_year,gender,federation,fide_title,rating_standard,rating_rapid,rating_blitz
"Abugenda, Nagi",9202544,1986,Male,Libya,Candidate Master,1972,2020,1989
"Xiong, Jeffery",2047640,2000,Male,United States of America,Grandmaster,2649,2694,2703
"Qin, Oscar Shu Xuan",4304314,2008,Male,New Zealand,Candidate Master,2078,1834,1913
"Artemiev, Vladislav",24101605,1998,Male,Russia,Grandmaster,2637,2724,2732
"Alrehaili, Ahmed Abdullah S",21518840,2000,Male,Saudi Arabia,FIDE Master,2114,2100,2073
"Grandelius, Nils",1710400,1993,Male,Sweden,Grandmaster,2661,2640,2573
"Huh, Isaak",13209590,2011,Male,South Korea,Candidate Master,2116,1915,1983
"Gledura, Benjamin",712779,1999,Male,Hungary,Grandmaster,2647,2575,2564
"Salih, Akar Ali Salih",4800575,1990,Male,Iraq,FIDE Master,2212,2074,2141
"Pranav, V",25060783,2006,Male,India,Grandmaster,2641,2591,2606
"Kigigha, Bomo Lovet",8500037,1982,Male,Nigeria,FIDE Master,2263,2250,2309
"Sadhwani, Raunak",35093487,2005,Male,India,Grandmaster,2641,2624,2649
"Ilkhomi, Jaloliddin",14700948,2007,Male,Tajikistan,International Master,2342,2026,2177
"Svane, Frederik",12923044,2004,Male,Germany,Grandmaster,2640,2488,2541
"Efimov, Igor",806404,1960,Male,Monaco,Grandmaster,2331,2369,2397
"Chigaev, Maksim",4108116,1996,Male,Spain,Grandmaster,2628,2610,2542
Kavin Mohan,5739047,2011,Male,Malaysia,FIDE Master,2346,2209,2254
"Anton Guijarro, David",2285525,1995,Male,Spain,Grandmaster,2648,2619,2560
"Manon, Reja Neer",10224009,2010,Male,Bangladesh,International Master,2360,2354,2105
Pranesh M,35028600,2006,Male,India,Grandmaster,2630,2509,2553
"Mandizha, Farai",11000430,1985,Male,Zimbabwe,International Master,2375,,2418
"Ivic, Velimir",950122,2002,Male,Serbia,Grandmaster,2618,2490,2523
"Mwali, Chitumbo",8700265,1986,Male,Zambia,International Master,2349,2219,2298
"Cheparinov, Ivan",2905540,1986,Male,Bulgaria,Grandmaster,2626,2614,2600
"Cahaya, Satria Duta",7124252,2008,Male,Indonesia,International Master,2393,2132,2247
"Sargissian, Gabriel",13300881,1983,Male,Armenia,Grandmaster,2616,2613,2561
"Thavandiran, Shiyam",2605058,1992,Male,Canada,International Master,2399,2406,2390
"Mendonca, Leon Luke",35028561,2006,Male,India,Grandmaster,2620,2498,2482
"Tran, Thanh Tu",12401404,1990,Male,Japan,International Master,2407,2364,2399
"Indjic, Aleksandar",911925,1995,Male,Serbia,Grandmaster,2635,2572,2659
"Rojas Salas, Steven",3819434,2004,Male,Peru,International Master,2415,2271,2382
"Lagarde, Maxime",662399,1994,Male,France,Grandmaster,2607,2600,2555
"Mohammad Fahad, Rahman",10207791,2003,Male,Bangladesh,International Master,2414,2373,2299
"Suleymanli, Aydin",13413937,2005,Male,Azerbaijan,Grandmaster,2622,2535,2584
Divya Deshmukh,35006916,2005,Female,India,Grandmaster <br/>Woman Grandmaster,2505,2419,2387
"Vazquez, Facundo",3007669,2004,Male,Uruguay,International Master,2419,2383,2329
"Grebnev, Aleksey",34189030,2006,Male,FIDE,Grandmaster,2617,2521,2504
"Rakotomaharo, Fy Antenaina",13100050,1999,Male,Madagascar,International Master,2439,2404,2433
"Dardha, Daniel",240990,2005,Male,Belgium,Grandmaster,2598,2583,2594
"Agibileg, Uurtsaikh",4901606,2001,Male,Mongolia,International Master,2448,2311,2360
"Daneshvar, Bardiya",12576468,2006,Male,Iran,Grandmaster,2602,2498,2495
"Cori Quispe, Kevin Joel",3814017,1999,Male,Mexico,Grandmaster,2451,2396,2466
"Iniyan, Pa",25002767,2002,Male,India,Grandmaster,2601,2450,2444
"Pantsulaia, Levan",13602071,1986,Male,Georgia,Grandmaster,2474,2518,2572
"Meier, Georg",4675789,1987,Male,Uruguay,Grandmaster,2596,2596,2545
"Siddharth, Jagadeesh",5818320,2007,Male,Singapore,Grandmaster,2491,2411,2343
"Cori, Jorge",3802272,1995,Male,Peru,Grandmaster,2601,2622,2604
Harshavardhan G B,25059009,2003,Male,India,International Master,2479,2216,2289
"Woodward, Andy",30953499,2010,Male,United States of America,Grandmaster,2605,2521,2461
"Fawzy, Adham",10613129,2000,Male,Egypt,Grandmaster,2475,2519,2482
"Adly, Ahmed",10601619,1987,Male,Egypt,Grandmaster,2589,2588,2600
"Bellahcene, Bilel",696358,1998,Male,Algeria,Grandmaster,2487,2580,2578
"Abasov, Nijat",13402960,1995,Male,Azerbaijan,Grandmaster,2587,2559,2555
"Avila Pavas, Santiago",4437128,2004,Male,Colombia,Grandmaster,2516,2430,2466
"Neiksans, Arturs",11601388,1983,Male,Latvia,Grandmaster,2585,2523,2545
"Atabayev, Saparmyrat",14000571,1999,Male,Turkmenistan,Grandmaster,2494,2361,2478
"Tin, Jingyao",5804418,2000,Male,Singapore,Grandmaster,2583,2504,2475
"Warmerdam, Max",1048104,2000,Male,Netherlands,Grandmaster,2577,2535,2542
"Garcia Pantoja, Roberto",3509265,1992,Male,Colombia,Grandmaster,2502,2506,2545
"Brkic, Ante",14506688,1988,Male,Croatia,Grandmaster,2579,2537,2564
"Parligras, Mircea-Emilian",1204297,1980,Male,Romania,Grandmaster,2510,2472,2478
"Lupulescu, Constantin",1207822,1984,Male,Romania,Grandmaster,2592,2518,2554
"Ghazarian, Kirk",30908604,2006,Male,United States of America,Grandmaster,2520,,2377
"Bartel, Mateusz",1112635,1985,Male,Poland,Grandmaster,2575,2524,2499
"Galaviz Medina, Sion Radamantys",5123119,2005,Male,Mexico,Grandmaster,2512,2420,2405
"Jobava, Baadur",13601520,1983,Male,Georgia,Grandmaster,2577,2646,2649
