date,stage,round,best_of,team_1,team_2,score_team_1,score_team_2
2025-11-24,1,1,1,B8,M80,0,1
2025-11-24,1,1,1,Imperial Esports,Rare Atom,1,0
2025-11-24,1,1,1,Legacy,FlyQuest,0,1
2025-11-24,1,1,1,PARIVISION,The Huns Esports,1,0
2025-11-24,1,1,1,GamerLegion,Fluxo,0,1
2025-11-24,1,1,1,Ninjas in Pyjamas,NRG,0,1
2025-11-24,1,1,1,FaZe Clan,Lynn Vision Gaming,1,0
2025-11-24,1,1,1,Fnatic,RED Canids,1,0
2025-11-24,1,2,1,Imperial Esports,FlyQuest,0,1
2025-11-24,1,2,1,PARIVISION,M80,0,1
2025-11-24,1,2,1,Fnatic,Fluxo,0,1
2025-11-24,1,2,1,FaZe Clan,NRG,0,1
2025-11-24,1,2,1,Legacy,Rare Atom,1,0
2025-11-24,1,2,1,B8,The Huns Esports,1,0
2025-11-24,1,2,1,GamerLegion,RED Canids,0,1
2025-11-24,1,2,1,Ninjas in Pyjamas,Lynn Vision Gaming,1,0
2025-11-25,1,3,3,FlyQuest,Fluxo,2,0
2025-11-25,1,3,3,M80,NRG,2,0
2025-11-25,1,3,1,Legacy,RED Canids,1,0
2025-11-25,1,3,1,B8,PARIVISION,1,0
2025-11-25,1,3,1,Fnatic,Imperial Esports,1,0
2025-11-25,1,3,1,FaZe Clan,Ninjas in Pyjamas,0,1
2025-11-25,1,3,3,GamerLegion,Rare Atom,2,0
2025-11-25,1,3,3,Lynn Vision Gaming,The Huns Esports,0,2
2025-11-26,1,4,3,Fluxo,Ninjas in Pyjamas,0,2
2025-11-26,1,4,3,B8,Legacy,2,0
2025-11-26,1,4,3,NRG,Fnatic,1,2
2025-11-26,1,4,3,RED Canids,FaZe Clan,1,2
2025-11-26,1,4,3,PARIVISION,GamerLegion,2,0
2025-11-26,1,4,3,Imperial Esports,The Huns Esports,2,0
2025-11-27,1,5,3,Fluxo,FaZe Clan,1,2
2025-11-27,1,5,3,NRG,Imperial Esports,0,2
2025-11-27,1,5,3,PARIVISION,Legacy,2,1
2025-11-29,2,1,1,3DMAX,Fnatic,0,1
2025-11-29,2,1,1,Astralis,Ninjas in Pyjamas,0,1
2025-11-29,2,1,1,TYLOO,PARIVISION,1,0
2025-11-29,2,1,1,Passion UA,FaZe Clan,0,1
2025-11-29,2,1,1,Aurora Gaming,M80,1,0
2025-11-29,2,1,1,Natus Vincere,FlyQuest,1,0
2025-11-29,2,1,1,Team Liquid,B8,0,1
2025-11-29,2,1,1,MIBR,Imperial Esports,0,1
2025-11-29,2,2,1,TYLOO,Ninjas in Pyjamas,0,1
2025-11-29,2,2,1,Natus Vincere,Imperial Esports,1,0
2025-11-29,2,2,1,Aurora Gaming,FaZe Clan,0,1
2025-11-29,2,2,1,B8,Fnatic,1,0
2025-11-29,2,2,1,3DMAX,FlyQuest,1,0
2025-11-29,2,2,1,Astralis,M80,0,1
2025-11-29,2,2,1,MIBR,Passion UA,0,1
2025-11-29,2,2,1,Team Liquid,PARIVISION,0,1
2025-11-30,2,3,3,FaZe Clan,Ninjas in Pyjamas,2,0
2025-11-30,2,3,3,Natus Vincere,B8,2,0
2025-11-30,2,3,1,TYLOO,M80,0,1
2025-11-30,2,3,1,Passion UA,3DMAX,0,1
2025-11-30,2,3,1,Aurora Gaming,PARIVISION,0,1
2025-11-30,2,3,1,Fnatic,Imperial Esports,0,1
2025-11-30,2,3,3,Astralis,FlyQuest,2,0
2025-11-30,2,3,3,Team Liquid,MIBR,2,0
2025-12-01,2,4,3,Ninjas in Pyjamas,PARIVISION,0,2
2025-12-01,2,4,3,Imperial Esports,M80,2,1
2025-12-01,2,4,3,B8,3DMAX,2,1
2025-12-01,2,4,3,Fnatic,Passion UA,0,2
2025-12-01,2,4,3,Aurora Gaming,Astralis,1,2
