pseudo,name,nationality,birthdate,role,team
yuurih,Yuri Gomes dos Santos Boian,Brazil,1999-12-22,rifler,FURIA
KSCERATO,Kaike Silva Cerato,Brazil,1999-09-12,lurker,FURIA
FalleN,Gabriel Toledo de Alcântara Sguario,Brazil,1991-05-30,in-game leader,FURIA
molodoy,Danil Golubenko,Kazakhstan,2005-01-10,AWPer,FURIA
YEKINDAR,Mareks Gaļinskis,Latvia,1999-10-04,entry,FURIA
apEX,Dan Madesclaire,France,1993-02-22,in-game leader,Team Vitality
ZywOo,Mathieu Herbaut,France,2000-11-09,AWPer,Team Vitality
flameZ,Shahar Shushan,Israel,2003-06-22,entry,Team Vitality
mezii,William Merriman,United Kingdom,1998-10-15,rifler,Team Vitality
ropz,Robin Kool,Estonia,1999-12-22,lurker,Team Vitality
NiKo,Nikola Kovač,Bosnia and Herzegovina,1997-02-16,entry,Team Falcons
TeSeS,René Stensig Madsen,Denmark,2002-12-12,entry,Team Falcons
kyxsan,Damjan Stoilkovski,North Macedonia,2000-05-26,in-game leader,Team Falcons
m0NESY,Ilya Osipov,Russia,2005-05-01,AWPer,Team Falcons
kyousuke,Maksim Lukin,Russia,2008-01-30,entry,Team Falcons
bLitz,Garidmagnai Byambasuren,Mongolia,2001-06-26,in-game leader,The MongolZ
Techno4K,Sodbayar Munkhbold,Mongolia,2005-05-20,rifler,The MongolZ
910,Usukhbayar Banzragch,Mongolia,2002-07-05,AWPer,The MongolZ
mzinho,Ayush Batbold,Mongolia,2007-06-28,rifler,The MongolZ
Senzu,Azbayar Munkhbold,Mongolia,2006-08-11,rifler,The MongolZ
torzsi,Ádám Torzsás,Hungary,2002-05-17,AWPer,MOUZ
xertioN,Dorian Berman,Israel,2004-07-22,entry,MOUZ
Jimpphat,Jimi Joonas Salo,Finland,2006-09-09,support,MOUZ
Brollan,Ludvig William Brolin,Sweden,2002-06-17,in-game leader,MOUZ
Spinx,Lotan Giladi,Israel,2000-09-13,lurker,MOUZ
chopper,Leonid Vishnyakov,Russia,1997-02-04,in-game leader,Team Spirit
zont1x,Myroslav Plakhotia,Ukraine,2005-07-20,rifler,Team Spirit
donk,Danil Kryshkovets,Russia,2007-01-25,entry,Team Spirit
sh1ro,Dmitriy Eduardovich Sokolov,Russia,2001-07-15,AWPer,Team Spirit
zweih,Ivan Gogin,Russia,2007-09-19,rifler,Team Spirit
huNter-,Nemanja Kovač,Bosnia and Herzegovina,1996-01-03,lurker,G2 Esports
malbsMd,Mario Alberto Samayoa Díaz,Guatemala,2002-10-17,entry,G2 Esports
HeavyGod,Nikita Martynenko,Israel,2002-07-24,rifler,G2 Esports
SunPayus,Álvaro Fernández García,Spain,1998-11-19,AWPer,G2 Esports
matys,Matúš Šimko,Slovakia,2002-04-21,rifler,G2 Esports
biguzera,Rodrigo Barbosa Bittencourt Papelbaum,Brazil,1997-02-18,in-game leader,paiN Gaming
nqz,Lucas Soares Assumpção e Silva,Brazil,2005-01-18,AWPer,paiN Gaming
snow,João Vinicius Bueno Filho,Brazil,2007-03-22,support,paiN Gaming
dav1deuS,David Tapia Maldonado,Chile,2000-06-07,rifler,paiN Gaming
dgt,Franco Manuel Garcia Cabrera,Uruguay,2001-05-12,lurker,paiN Gaming
XANTARES,İsmailсan Dörtkardeş,Turkey,1995-08-07,entry,Aurora Gaming
MAJ3R,Engin Küpeli,Turkey,1991-01-25,in-game leader,Aurora Gaming
Wicadia,Ali Haydar Yalçın,Turkey,2005-03-04,rifler,Aurora Gaming
woxic,Özgür Eker,Turkey,1998-09-02,AWPer,Aurora Gaming
jottAAA,Samet Köklü,Turkey,2002-07-15,rifler,Aurora Gaming
b1t,Valerii Yevheniiovych Vakhovskyi,Ukraine,2003-01-05,support,Natus Vincere
Aleksib,Aleksi Antti Kaarlo Virolainen,Finland,1997-03-30,in-game leader,Natus Vincere
iM,Mihai Ivan,Romania,1999-07-29,entry,Natus Vincere
w0nderful,Ihor Zhdanov,Ukraine,2004-12-14,AWPer,Natus Vincere
makazze,Drin Shaqiri,Kosovo,2006-12-21,rifler,Natus Vincere
NAF,Keith Jordan Markovic,Canada,1997-11-24,rifler,Team Liquid
ultimate,Roland Tomkowiak,Poland,2003-11-29,AWPer,Team Liquid
NertZ,Guy Iluz,Israel,1999-07-12,rifler,Team Liquid
siuhy,Kamil Tomasz Szkaradek,Poland,2002-08-26,in-game leader,Team Liquid
EliGE,Jonathan David Jablonowski,United States,1997-07-16,entry,Team Liquid
Lucky,Lucas Chastang,France,1998-04-06,entry,3DMAX
Ex3rcice,Pierre Bulinge,France,2000-02-04,rifler,3DMAX
Maka,Bryan Canda,France,1997-07-06,in-game leader,3DMAX
Graviti,Filip Branković,France,2003-11-08,rifler,3DMAX
bodyy,Alexandre Pierre Pianaro,France,1997-01-08,rifler,3DMAX
dev1ce,Nicolai Hvilshøj Reedtz,Denmark,1995-09-08,AWPer,Astralis
Staehr,Victor Staehr Hansen,Denmark,2004-07-19,rifler,Astralis
jabbi,Jakob Nygaard Sørensen,Denmark,2003-07-23,rifler,Astralis
HooXi,Rasmus Pallisgaard Nielsen,Denmark,1995-05-21,in-game leader,Astralis
Magisk,Emil Hoffmann Reif,Denmark,1998-03-05,rifler,Astralis
Attacker,Sheng Yuanzhang,China,1997-01-07,rifler,TYLOO
JamYoung,Yang Yi,China,2001-07-23,rifler,TYLOO
Moseyuh,Chen Qianhao,China,2004-12-21,in-game leader,TYLOO
Mercury,Wang Jingxiang,China,2000-12-15,in-game leader,TYLOO
Jee,Ji Dongkai,China,2004-12-21,AWPer,TYLOO
exit,Raphael Marques de Lacerda,Brazil,1996-08-29,in-game leader,MIBR
brnz4n,Breno Augusto de Oliveira Poletto,Brazil,2003-08-26,entry,MIBR
insani,Felipe Yuji Tasaka Kuratani,Brazil,2004-04-25,support,MIBR
kl1m,Klimentii Krivosheev,Russia,2005-10-03,AWPer,MIBR
