player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
Mazraoui,Ajax,Defender,2,0,0,13,9,3,3,3,40,10,6,9,9,8,1,0,385,338,19,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,661,8,81.5
Blind,Ajax,Defender,1,0,1,8,4,2,1,1,32,4,7,8,5,0,1,0,439,368,15,8,17,8,0,0,0,0,0,1,0,1,0,0,0,1,0,572,8,70.9
Martínez,Ajax,Defender,1,0,0,3,6,2,4,0,53,2,8,19,7,7,1,0,674,633,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,720,8,83.3
Tagliafico,Ajax,Defender,1,0,0,1,1,0,1,0,10,3,1,1,1,5,0,0,69,57,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3,16.6
Schuurs,Ajax,Defender,1,0,0,0,2,0,2,0,13,2,3,2,2,0,1,0,111,99,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,146,3,14.4
Rensch,Ajax,Defender,0,0,0,0,0,0,0,0,8,2,3,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,13.8
Antony,Ajax,Forward,5,3,4,28,26,10,9,7,25,3,4,2,5,9,1,0,322,262,27,5,2,7,0,0,0,0,0,2,0,2,0,0,2,0,0,577,7,65.1
Tadić,Ajax,Forward,2,5,5,13,12,3,4,5,12,0,2,1,11,9,0,0,303,231,44,19,8,7,0,0,0,0,0,2,1,1,0,0,2,0,0,630,7,78.9
Berghuis,Ajax,Forward,1,15,2,3,16,5,6,5,14,2,4,3,3,1,1,0,277,229,28,9,2,8,0,0,0,0,0,3,0,3,0,0,3,0,0,628,8,79.8
Haller,Ajax,Forward,1,0,3,9,24,15,8,1,10,2,6,5,17,11,1,0,162,134,0,0,0,8,0,0,0,0,0,11,3,4,3,1,11,0,1,668,8,82.2
Neres,Ajax,Forward,0,0,0,0,6,3,1,2,3,0,0,0,3,0,0,0,104,91,7,4,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,203,5,24
Daramy,Ajax,Forward,0,0,0,0,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,6.4
Brobbey,Ajax,Forward,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onana,Ajax,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,49,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,180,2,8.4
Pasveer,Ajax,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,200,0,0,5,0,13,6,0,2,2,0,0,0,0,0,0,0,0,540,6,32.7
Gravenberch,Ajax,Midfielder,1,15,1,18,9,5,2,2,30,3,1,10,17,11,1,0,386,342,9,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,703,8,89.1
